Indicador;Idade;Genero;Dependentes;Escolaridade;Estado_Civil;Renda;Cartao;Limite_Credito
0;42;M;2;Ensino Médio Completo;Solteiro;De 60 Mil a 80 Mil;Blue;3336.0
0;55;M;3;Desconhecido;Casado;De 80 Mil a 120 Mil;Blue;3436.0
1;48;M;2;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Silver;34516.0
0;39;M;1;Ensino Médio Completo;Divorciado;De 60 Mil a 80 Mil;Blue;5926.0
0;44;M;4;Mestrado;Solteiro;Mais de 120 Mil;Blue;23957.0
0;53;M;2;Ensino Médio Completo;Solteiro;Mais de 120 Mil;Blue;14734.0
0;51;M;4;Sem Escolaridade;Solteiro;De 80 Mil a 120 Mil;Silver;34516.0
0;57;M;2;Ensino Superior Completo;Casado;De 60 Mil a 80 Mil;Blue;6584.0
0;44;F;2;Sem Escolaridade;Solteiro;Menos de 40 Mil;Blue;2084.0
0;49;M;2;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;1687.0
0;50;M;2;Doutorado;Casado;De 80 Mil a 120 Mil;Blue;25300.0
0;51;M;4;Pós-Graduação;Solteiro;Mais de 120 Mil;Blue;34516.0
0;55;F;2;Pós-Graduação;Casado;Menos de 40 Mil;Blue;2216.0
0;54;M;1;Pós-Graduação;;De 60 Mil a 80 Mil;Blue;2910.0
0;42;M;5;Sem Escolaridade;Casado;De 80 Mil a 120 Mil;Blue;22913.0
0;44;M;1;Ensino Superior Completo;Solteiro;De 60 Mil a 80 Mil;Blue;24312.0
0;53;M;2;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;5272.0
0;44;F;4;Pós-Graduação;Solteiro;Menos de 40 Mil;Blue;7000.0
0;37;F;3;Sem Escolaridade;Solteiro;Menos de 40 Mil;Blue;7038.0
0;49;M;3;Pós-Graduação;Divorciado;De 60 Mil a 80 Mil;Blue;2536.0
0;47;M;2;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;28904.0
0;47;M;3;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;8567.0
0;44;M;1;Desconhecido;;Mais de 120 Mil;Blue;34516.0
1;55;F;4;Desconhecido;Casado;De 40 Mil a 60 Mil;Blue;2158.0
0;59;F;1;Pós-Graduação;Casado;;Blue;10133.0
0;53;M;1;Pós-Graduação;Divorciado;De 80 Mil a 120 Mil;Blue;34516.0
0;52;M;2;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;3085.0
0;53;M;2;Ensino Médio Completo;Solteiro;Mais de 120 Mil;Blue;19040.0
0;43;F;3;Sem Escolaridade;Solteiro;Menos de 40 Mil;Blue;4026.0
0;44;M;3;Ensino Médio Completo;Solteiro;De 60 Mil a 80 Mil;Blue;12756.0
0;57;M;2;Desconhecido;Casado;Mais de 120 Mil;Blue;5266.0
0;51;F;2;Ensino Médio Completo;Solteiro;Menos de 40 Mil;Blue;9930.0
0;49;M;4;Ensino Médio Completo;Solteiro;De 80 Mil a 120 Mil;Blue;31302.0
0;45;M;1;Pós-Graduação;Solteiro;De 40 Mil a 60 Mil;Blue;6576.0
0;53;M;0;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;2664.0
0;45;F;3;Desconhecido;Casado;;Blue;2535.0
0;64;M;1;Pós-Graduação;Casado;Menos de 40 Mil;Blue;1709.0
0;45;M;3;Pós-Graduação;Casado;De 40 Mil a 60 Mil;Blue;3454.0
0;53;M;3;Doutorado;Casado;De 40 Mil a 60 Mil;Blue;3789.0
0;56;M;3;Ensino Superior Completo;Casado;Mais de 120 Mil;Blue;9689.0
1;47;M;2;Desconhecido;Casado;De 80 Mil a 120 Mil;Blue;5449.0
0;49;F;3;Ensino Superior Completo;Solteiro;;Blue;23032.0
0;41;F;3;Desconhecido;Casado;;Silver;34516.0
0;53;M;3;Pós-Graduação;Casado;Mais de 120 Mil;Blue;2940.0
0;44;F;2;Pós-Graduação;Solteiro;Menos de 40 Mil;Blue;3031.0
0;44;M;3;Ensino Médio Completo;;De 60 Mil a 80 Mil;Blue;1862.0
0;43;F;4;Mestrado;Casado;Menos de 40 Mil;Blue;8358.0
0;53;M;2;Mestrado;Solteiro;Mais de 120 Mil;Blue;34516.0
0;44;M;1;Sem Escolaridade;Casado;De 60 Mil a 80 Mil;Blue;14450.0
0;62;F;1;Desconhecido;Casado;Menos de 40 Mil;Blue;1438.3
0;54;M;4;Desconhecido;Divorciado;Mais de 120 Mil;Blue;33791.0
0;57;M;4;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;8466.0
0;42;M;3;Desconhecido;Casado;De 60 Mil a 80 Mil;Blue;15088.0
0;42;M;4;Ensino Médio Completo;Divorciado;De 60 Mil a 80 Mil;Blue;3263.0
0;54;F;0;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;1494.0
0;48;M;3;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;13551.0
0;49;M;1;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;18886.0
0;52;M;3;Ensino Médio Completo;;De 80 Mil a 120 Mil;Blue;11976.0
0;50;M;3;Ensino Médio Completo;Solteiro;De 80 Mil a 120 Mil;Blue;9964.0
0;49;M;1;Doutorado;Casado;De 60 Mil a 80 Mil;Blue;24159.0
0;53;F;2;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;5362.0
0;50;M;2;Pós-Graduação;Solteiro;Mais de 120 Mil;Blue;34516.0
0;55;F;1;Doutorado;Casado;Menos de 40 Mil;Blue;3174.0
0;53;M;1;Ensino Médio Completo;Casado;De 80 Mil a 120 Mil;Blue;12262.0
0;47;F;3;Ensino Médio Completo;Solteiro;De 40 Mil a 60 Mil;Blue;3788.0
0;55;M;2;Ensino Superior Completo;Solteiro;Mais de 120 Mil;Silver;34516.0
0;47;M;3;Pós-Graduação;Solteiro;De 60 Mil a 80 Mil;Blue;2926.0
0;58;M;4;Pós-Graduação;Solteiro;Mais de 120 Mil;Blue;32090.0
1;53;M;2;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;11669.0
0;52;M;2;Ensino Médio Completo;Solteiro;De 40 Mil a 60 Mil;Blue;13532.0
0;50;F;1;Sem Escolaridade;;Menos de 40 Mil;Silver;11888.0
0;42;F;1;Pós-Graduação;Casado;Menos de 40 Mil;Blue;2393.0
0;43;M;4;Desconhecido;Casado;De 40 Mil a 60 Mil;Blue;6111.0
0;57;M;4;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;19270.0
0;52;M;1;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;3710.0
0;47;M;2;Doutorado;Solteiro;Menos de 40 Mil;Blue;3235.0
0;44;F;3;Pós-Graduação;Solteiro;De 40 Mil a 60 Mil;Blue;11749.0
0;53;M;2;Ensino Médio Completo;Divorciado;De 60 Mil a 80 Mil;Blue;7753.0
0;45;M;4;Ensino Superior Completo;Divorciado;De 60 Mil a 80 Mil;Blue;10408.0
0;63;F;1;Ensino Superior Completo;Casado;;Blue;3967.0
0;39;F;2;Mestrado;Solteiro;Menos de 40 Mil;Blue;6205.0
1;48;F;5;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;8025.0
0;51;M;1;Desconhecido;Solteiro;Mais de 120 Mil;Blue;9036.0
0;54;M;4;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;14926.0
0;59;F;1;Pós-Graduação;Solteiro;Menos de 40 Mil;Blue;6335.0
1;59;M;1;Ensino Superior Completo;Solteiro;De 60 Mil a 80 Mil;Blue;14979.0
1;48;F;4;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;2732.0
0;41;F;2;Pós-Graduação;Solteiro;Menos de 40 Mil;Blue;2250.0
0;55;M;2;Pós-Graduação;Casado;Mais de 120 Mil;Blue;10916.0
0;47;F;4;Pós-Graduação;Casado;;Blue;5349.0
0;41;M;2;Ensino Médio Completo;Casado;De 80 Mil a 120 Mil;Blue;9366.0
0;40;M;3;Ensino Médio Completo;Solteiro;De 80 Mil a 120 Mil;Blue;21617.0
0;68;M;1;Pós-Graduação;Casado;;Blue;13860.0
0;50;F;1;Pós-Graduação;Solteiro;De 40 Mil a 60 Mil;Silver;18386.0
0;47;M;4;Sem Escolaridade;Solteiro;De 60 Mil a 80 Mil;Blue;2405.0
0;53;F;1;Ensino Superior Completo;Casado;Menos de 40 Mil;Blue;2154.0
0;42;F;5;Desconhecido;Casado;De 40 Mil a 60 Mil;Blue;2038.0
0;48;F;4;Ensino Médio Completo;Solteiro;De 40 Mil a 60 Mil;Blue;8135.0
0;49;M;1;Doutorado;Casado;Mais de 120 Mil;Blue;9364.0
0;44;F;2;Sem Escolaridade;Casado;;Silver;32643.0
0;43;F;4;Pós-Graduação;Divorciado;Menos de 40 Mil;Blue;3195.0
0;56;M;0;Ensino Médio Completo;Casado;De 80 Mil a 120 Mil;Blue;2852.0
0;59;F;1;Ensino Superior Completo;Solteiro;;Blue;4224.0
0;46;M;1;Sem Escolaridade;Casado;De 60 Mil a 80 Mil;Blue;20459.0
0;47;F;4;Desconhecido;Divorciado;Menos de 40 Mil;Blue;3482.0
0;50;F;4;Sem Escolaridade;Casado;De 40 Mil a 60 Mil;Blue;3065.0
0;51;F;3;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;2185.0
0;47;F;3;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;1611.0
0;58;F;4;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;2822.0
1;46;M;5;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;32975.0
0;53;M;3;Ensino Médio Completo;Casado;De 60 Mil a 80 Mil;Blue;1438.3
0;45;F;4;Sem Escolaridade;Divorciado;;Blue;15875.0
0;52;F;1;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;6703.0
1;53;M;2;Desconhecido;Casado;De 80 Mil a 120 Mil;Blue;3212.0
0;50;M;2;Ensino Médio Completo;Casado;De 80 Mil a 120 Mil;Silver;34516.0
0;41;F;3;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;9797.0
0;45;F;5;Pós-Graduação;Divorciado;De 40 Mil a 60 Mil;Blue;10400.0
0;53;M;3;Sem Escolaridade;Casado;De 80 Mil a 120 Mil;Blue;26792.0
0;67;F;1;Pós-Graduação;Casado;Menos de 40 Mil;Blue;3006.0
0;57;F;2;Sem Escolaridade;Solteiro;De 40 Mil a 60 Mil;Silver;19482.0
0;59;F;1;Sem Escolaridade;Casado;De 40 Mil a 60 Mil;Blue;3356.0
0;45;M;2;Sem Escolaridade;Casado;De 40 Mil a 60 Mil;Blue;5771.0
0;51;M;3;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;11106.0
0;59;F;1;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;2890.0
0;53;M;1;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;3380.0
0;47;M;3;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;21331.0
0;49;F;3;Sem Escolaridade;Solteiro;;Blue;12860.0
0;49;M;3;Mestrado;Solteiro;De 80 Mil a 120 Mil;Blue;6278.0
0;60;F;0;Ensino Superior Completo;Solteiro;Menos de 40 Mil;Blue;1438.3
0;50;F;2;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;9355.0
0;41;F;2;Mestrado;Casado;;Blue;20758.0
0;57;M;1;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;14612.0
0;43;M;4;Pós-Graduação;;De 80 Mil a 120 Mil;Blue;27259.0
0;57;F;3;Pós-Graduação;Casado;Menos de 40 Mil;Blue;6347.0
0;54;M;3;Doutorado;Casado;Mais de 120 Mil;Blue;21592.0
0;51;F;5;Mestrado;Casado;Menos de 40 Mil;Blue;3449.0
0;47;F;3;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;6028.0
0;41;M;0;Ensino Médio Completo;;Mais de 120 Mil;Blue;18214.0
0;53;M;3;Sem Escolaridade;Casado;De 80 Mil a 120 Mil;Blue;16393.0
1;68;M;0;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;1438.3
0;59;M;1;Ensino Superior Completo;Casado;De 60 Mil a 80 Mil;Blue;7871.0
0;48;M;4;Desconhecido;Casado;De 80 Mil a 120 Mil;Blue;5288.0
0;44;M;5;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;11376.0
0;48;M;3;Ensino Superior Completo;Casado;De 80 Mil a 120 Mil;Blue;12302.0
0;47;M;4;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Silver;34516.0
0;47;M;2;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Silver;34516.0
0;43;F;1;Ensino Médio Completo;Divorciado;Menos de 40 Mil;Silver;10514.0
1;55;F;2;Pós-Graduação;Casado;Menos de 40 Mil;Blue;1438.3
1;59;M;2;Mestrado;Casado;De 60 Mil a 80 Mil;Blue;1438.3
0;63;M;1;Pós-Graduação;Casado;De 40 Mil a 60 Mil;Blue;2619.0
0;58;M;2;Ensino Superior Completo;Casado;Mais de 120 Mil;Blue;24407.0
0;53;F;2;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;2377.0
0;59;M;0;Desconhecido;;De 80 Mil a 120 Mil;Silver;34516.0
0;52;M;3;Pós-Graduação;Casado;Mais de 120 Mil;Blue;11086.0
0;48;M;3;Ensino Médio Completo;Solteiro;De 60 Mil a 80 Mil;Blue;11432.0
0;43;M;4;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;13258.0
0;48;M;2;Ensino Superior Completo;Solteiro;Menos de 40 Mil;Blue;2571.0
0;43;F;4;Pós-Graduação;Solteiro;Menos de 40 Mil;Blue;5781.0
0;44;M;4;Desconhecido;Casado;De 60 Mil a 80 Mil;Blue;7872.0
0;41;M;3;Ensino Médio Completo;Casado;De 80 Mil a 120 Mil;Blue;34516.0
0;44;F;3;Sem Escolaridade;Divorciado;Menos de 40 Mil;Silver;11127.0
0;50;M;2;Desconhecido;Solteiro;De 40 Mil a 60 Mil;Blue;1857.0
0;60;F;1;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;1913.0
0;44;M;4;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;3839.0
0;48;F;3;Pós-Graduação;Divorciado;De 40 Mil a 60 Mil;Blue;2115.0
0;44;F;2;Pós-Graduação;Divorciado;Menos de 40 Mil;Blue;1438.3
0;41;M;2;Ensino Médio Completo;Solteiro;De 80 Mil a 120 Mil;Blue;27756.0
0;45;M;3;Ensino Superior Completo;Solteiro;De 60 Mil a 80 Mil;Blue;1438.3
0;47;F;2;Sem Escolaridade;Divorciado;Menos de 40 Mil;Silver;13878.0
0;51;F;2;Pós-Graduação;Casado;Menos de 40 Mil;Blue;3106.0
0;51;M;2;Pós-Graduação;Casado;Mais de 120 Mil;Blue;34516.0
1;60;F;1;Sem Escolaridade;Casado;De 40 Mil a 60 Mil;Blue;1438.3
0;57;M;2;Desconhecido;Casado;De 80 Mil a 120 Mil;Blue;18871.0
0;41;M;5;Pós-Graduação;Solteiro;Mais de 120 Mil;Blue;5207.0
0;44;M;3;Mestrado;Divorciado;De 80 Mil a 120 Mil;Blue;17965.0
0;43;M;1;Ensino Superior Completo;Solteiro;De 60 Mil a 80 Mil;Blue;2733.0
0;55;M;2;Ensino Superior Completo;Casado;De 60 Mil a 80 Mil;Blue;8863.0
1;52;M;1;Sem Escolaridade;Casado;De 80 Mil a 120 Mil;Blue;1857.0
0;44;M;3;Pós-Graduação;;De 80 Mil a 120 Mil;Blue;34516.0
0;41;M;2;Sem Escolaridade;Casado;De 40 Mil a 60 Mil;Blue;11107.0
0;44;M;4;Desconhecido;Solteiro;De 80 Mil a 120 Mil;Blue;21573.0
1;53;F;2;Desconhecido;Casado;Menos de 40 Mil;Blue;2859.0
0;39;M;2;Ensino Médio Completo;Solteiro;De 80 Mil a 120 Mil;Blue;5269.0
1;49;M;5;Ensino Superior Completo;Casado;De 40 Mil a 60 Mil;Blue;1438.3
1;45;F;2;Ensino Superior Completo;Casado;Menos de 40 Mil;Blue;3387.0
0;54;M;2;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;1982.0
0;49;M;3;Sem Escolaridade;Solteiro;De 80 Mil a 120 Mil;Blue;4645.0
0;46;F;3;Doutorado;Solteiro;;Blue;2189.0
1;46;M;4;Ensino Médio Completo;Casado;Mais de 120 Mil;Blue;2442.0
0;47;M;3;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;21304.0
0;44;M;2;Doutorado;Solteiro;De 60 Mil a 80 Mil;Blue;7577.0
0;50;M;3;Mestrado;Solteiro;Mais de 120 Mil;Blue;3234.0
0;73;M;0;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;4469.0
0;56;M;3;Desconhecido;;De 40 Mil a 60 Mil;Blue;2910.0
1;59;M;0;Ensino Médio Completo;Solteiro;De 40 Mil a 60 Mil;Blue;3616.0
0;70;M;0;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;3252.0
0;55;F;2;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;2358.0
0;43;M;4;Desconhecido;Solteiro;De 60 Mil a 80 Mil;Blue;22322.0
0;45;M;1;Sem Escolaridade;Solteiro;Mais de 120 Mil;Blue;3133.0
0;45;F;2;Sem Escolaridade;Solteiro;De 40 Mil a 60 Mil;Blue;3540.0
0;40;M;1;Pós-Graduação;Casado;De 40 Mil a 60 Mil;Blue;6990.0
0;36;M;2;Ensino Superior Completo;;De 80 Mil a 120 Mil;Blue;34516.0
1;59;F;0;Mestrado;Casado;De 40 Mil a 60 Mil;Blue;1438.3
0;43;M;4;Desconhecido;Casado;De 60 Mil a 80 Mil;Blue;24396.0
0;46;F;1;Desconhecido;Casado;Menos de 40 Mil;Blue;2474.0
0;41;M;2;Sem Escolaridade;Casado;De 40 Mil a 60 Mil;Blue;5214.0
0;51;F;2;Pós-Graduação;Casado;Menos de 40 Mil;Blue;5207.0
0;51;F;3;Desconhecido;;Menos de 40 Mil;Blue;9512.0
0;43;F;4;Pós-Graduação;Divorciado;;Blue;3187.0
1;64;F;0;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;3353.0
0;54;M;5;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;2290.0
0;48;M;3;Desconhecido;Solteiro;De 40 Mil a 60 Mil;Blue;5279.0
0;40;M;2;Sem Escolaridade;Divorciado;De 60 Mil a 80 Mil;Blue;23603.0
0;57;M;0;Sem Escolaridade;Casado;De 40 Mil a 60 Mil;Blue;2601.0
0;45;M;4;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;6363.0
0;41;M;3;Ensino Médio Completo;Solteiro;De 80 Mil a 120 Mil;Blue;8029.0
0;42;F;4;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;2410.0
1;45;M;2;Pós-Graduação;Solteiro;De 60 Mil a 80 Mil;Blue;3401.0
0;42;F;4;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;2260.0
0;47;M;4;Sem Escolaridade;Divorciado;De 80 Mil a 120 Mil;Blue;17682.0
0;48;F;4;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;4206.0
0;43;M;1;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Silver;34516.0
0;41;M;4;Ensino Médio Completo;;De 80 Mil a 120 Mil;Blue;23018.0
0;54;F;1;Sem Escolaridade;Casado;De 40 Mil a 60 Mil;Blue;5556.0
1;54;F;2;Ensino Médio Completo;Casado;;Blue;6094.0
0;61;M;0;Pós-Graduação;Casado;De 40 Mil a 60 Mil;Blue;2939.0
0;61;M;0;Sem Escolaridade;Casado;De 80 Mil a 120 Mil;Blue;5362.0
1;48;M;2;Ensino Médio Completo;Casado;Mais de 120 Mil;Blue;27126.0
0;45;F;4;Pós-Graduação;Solteiro;Menos de 40 Mil;Blue;3342.0
1;54;F;4;Pós-Graduação;Casado;;Blue;2532.0
0;54;F;3;Doutorado;Casado;;Blue;1900.0
0;44;M;3;Pós-Graduação;Solteiro;De 60 Mil a 80 Mil;Blue;14546.0
0;50;F;4;Doutorado;Solteiro;;Blue;2521.0
0;55;M;2;Doutorado;Casado;De 60 Mil a 80 Mil;Blue;16427.0
0;48;M;2;Pós-Graduação;;De 40 Mil a 60 Mil;Blue;13068.0
0;45;M;2;Ensino Superior Completo;Solteiro;De 60 Mil a 80 Mil;Blue;23218.0
0;60;M;0;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;3281.0
0;55;M;2;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;3096.0
0;62;F;0;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;2052.0
0;38;F;1;Ensino Médio Completo;;Menos de 40 Mil;Blue;1438.3
0;46;M;3;Ensino Médio Completo;Solteiro;De 40 Mil a 60 Mil;Blue;9432.0
0;50;M;0;Ensino Médio Completo;Solteiro;Mais de 120 Mil;Silver;14938.0
0;45;M;2;Sem Escolaridade;Casado;De 60 Mil a 80 Mil;Blue;2221.0
0;47;M;3;Mestrado;Divorciado;De 60 Mil a 80 Mil;Blue;5731.0
0;48;M;4;Ensino Superior Completo;Casado;De 60 Mil a 80 Mil;Gold;34516.0
0;35;M;3;Sem Escolaridade;Casado;De 60 Mil a 80 Mil;Blue;6985.0
0;51;M;2;Pós-Graduação;Casado;Mais de 120 Mil;Blue;24221.0
0;36;F;3;Ensino Médio Completo;Casado;;Blue;15439.0
0;47;M;4;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;21637.0
0;52;M;2;Pós-Graduação;Solteiro;Mais de 120 Mil;Blue;14543.0
0;43;F;4;Sem Escolaridade;Casado;Menos de 40 Mil;Blue;9684.0
0;63;M;2;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;5007.0
0;61;M;0;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;1616.0
0;53;M;2;Sem Escolaridade;Solteiro;De 60 Mil a 80 Mil;Blue;19116.0
0;53;F;3;Pós-Graduação;Casado;Menos de 40 Mil;Blue;2759.0
1;57;M;3;Pós-Graduação;Casado;Mais de 120 Mil;Blue;8249.0
0;38;F;2;Pós-Graduação;Solteiro;;Blue;14041.0
0;53;M;3;Ensino Médio Completo;Casado;De 60 Mil a 80 Mil;Blue;5264.0
0;63;F;0;Desconhecido;Casado;Menos de 40 Mil;Blue;2420.0
0;49;F;4;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;2826.0
0;45;M;2;Ensino Médio Completo;Casado;De 80 Mil a 120 Mil;Blue;12518.0
